,prolific_id,tag,condition_num,background,commentator,outcome,model_descr_variant,sport,question1,question2,question3,question4,question5,question6,question7,question8,slider_val1,slider_val2,slider_val3,slider_val4,slider_val5,slider_val6,slider_val7,slider_val8
1060,5da6139c002c29001335b5a2,diving_effort_team-strong-indirect-14,7.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Teams compete in synchronized diving. Each team member jumps at the same time.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Kay and Peyton lost to Sam and Blake.<br>
In the second match, Peyton and Willow beat Sam and Blake.<br>
In the third match, Peyton and Lane beat Sam and Blake.<br>",implicit,diving,"[""How likely is it that Kay is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Peyton is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Sam is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""How likely is it that Kay tried hard in the first match?"",""latent-1""]","[""How likely is it that Peyton tried hard in the second match?"",""latent-2""]","[""How likely is it that Sam tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Kay and Peyton will beat Willow and Sam?"",""new-1""]","[""In a new match, how likely is it that Kay and Sam will beat Peyton and Blake?"",""new-2""]",24.0,63.0,34.0,65.0,81.0,76.0,69.0,51.0
1063,5da6139c002c29001335b5a2,diving_effort_individ-explain-away-bonus2,7.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Jamie lost to Ollie.<br>
In the second match, Jamie beat Ollie.<br>
In the third match, Ollie beat Indiana.<br>
In the fourth match, Ollie beat Peyton.<br>
In the fifth match, Jamie lost to Quinn.<br>
In the sixth match, Jamie lost to Emery.<br>",implicit,diving,"[""How likely is it that Jamie is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Ollie is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Indiana is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""How likely is it that Jamie tried hard in the second match?"",""latent-1""]","[""How likely is it that Ollie tried hard in the first match?"",""latent-2""]","[""How likely is it that Indiana tried hard in the third match?"",""latent-3""]","[""In a new match, how likely is it that Jamie will beat Ollie ?"",""new-1""]","[""In a new match, how likely is it that Jamie will beat Indiana?"",""new-2""]",28.0,68.0,32.0,63.0,77.0,70.0,41.0,62.0
1073,66a39aeeafa9e56fe60f68c7,tug-of-war_effort_team-confounded-opponent-12,8.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Taylor and Peyton lost to Fey and Jamie.<br>
In the second match, Taylor and Quinn lost to Fey and Robin.<br>
In the third match, Taylor and Willow lost to Fey and Lane.<br>",implicit,tug-of-war,"[""How likely is it that Taylor is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Taylor tried hard in the second match?"",""latent-1""]","[""How likely is it that Peyton tried hard in the first match?"",""latent-2""]","[""How likely is it that Fey tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Taylor and Peyton will beat Quinn and Lane?"",""new-1""]","[""In a new match, how likely is it that Taylor and Fey will beat Peyton and Jamie?"",""new-2""]",5.0,35.0,83.0,47.0,75.0,74.0,50.0,26.0
1076,66a39aeeafa9e56fe60f68c7,tug-of-war_effort_individ-explain-away-91012,8.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Drew lost to Ollie .<br>
In the second match, Drew beat Ollie .<br>
In the third match, Drew beat Ollie.<br>
In the fourth match, Peyton beat Robin.<br>",implicit,tug-of-war,"[""How likely is it that Drew is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Ollie is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Robin is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Drew tried hard in the first match?"",""latent-1""]","[""How likely is it that Ollie tried hard in the second match?"",""latent-2""]","[""How likely is it that Robin tried hard in the fourth match?"",""latent-3""]","[""In a new match, how likely is it that Drew will beat Ollie ?"",""new-1""]","[""In a new match, how likely is it that Drew will beat Robin?"",""new-2""]",67.0,36.0,30.0,30.0,29.0,26.0,74.0,48.0
1079,66a39aeeafa9e56fe60f68c7,tug-of-war_effort_individ-explain-away-bonus3,8.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Peyton beat Blake.<br>
In the second match, Peyton lost to Blake.<br>
In the third match, Blake lost to Ness.<br>
In the fourth match, Blake lost to Indiana.<br>",implicit,tug-of-war,"[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Peyton tried hard in the second match?"",""latent-1""]","[""How likely is it that Blake tried hard in the first match?"",""latent-2""]","[""How likely is it that Ness tried hard in the third match?"",""latent-3""]","[""In a new match, how likely is it that Peyton will beat Blake ?"",""new-1""]","[""In a new match, how likely is it that Peyton will beat Ness?"",""new-2""]",37.0,63.0,61.0,37.0,63.0,64.0,25.0,26.0
1083,66a39aeeafa9e56fe60f68c7,diving_effort_individ-explain-away-bonus2,8.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Jamie lost to Ollie.<br>
In the second match, Jamie beat Ollie.<br>
In the third match, Ollie beat Indiana.<br>
In the fourth match, Ollie beat Peyton.<br>
In the fifth match, Jamie lost to Quinn.<br>
In the sixth match, Jamie lost to Emery.<br>",implicit,diving,"[""How likely is it that Jamie is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Ollie is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Indiana is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""How likely is it that Jamie tried hard in the second match?"",""latent-1""]","[""How likely is it that Ollie tried hard in the first match?"",""latent-2""]","[""How likely is it that Indiana tried hard in the third match?"",""latent-3""]","[""In a new match, how likely is it that Jamie will beat Ollie ?"",""new-1""]","[""In a new match, how likely is it that Jamie will beat Indiana?"",""new-2""]",28.0,75.0,18.0,73.0,29.0,31.0,57.0,57.0
1086,66a39aeeafa9e56fe60f68c7,diving_effort_team-strong-indirect-14,8.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Teams compete in synchronized diving. Each team member jumps at the same time.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Kay and Peyton lost to Sam and Blake.<br>
In the second match, Peyton and Willow beat Sam and Blake.<br>
In the third match, Peyton and Lane beat Sam and Blake.<br>",implicit,diving,"[""How likely is it that Kay is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Peyton is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Sam is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""How likely is it that Kay tried hard in the first match?"",""latent-1""]","[""How likely is it that Peyton tried hard in the second match?"",""latent-2""]","[""How likely is it that Sam tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Kay and Peyton will beat Willow and Sam?"",""new-1""]","[""In a new match, how likely is it that Kay and Sam will beat Peyton and Blake?"",""new-2""]",27.0,78.0,59.0,32.0,72.0,31.0,64.0,36.0
1089,66a39aeeafa9e56fe60f68c7,diving_effort_team-explain-away-11,8.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Teams compete in synchronized diving. Each team member jumps at the same time.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Taylor and Harper beat Emery and Blake.<br>
In the second match, Taylor and Avery beat Emery and Fey.<br>
In the third match, Taylor and Robin beat Emery and Drew.<br>
In the fourth match, Taylor and Harper lost to Emery and Blake.<br>",implicit,diving,"[""How likely is it that Taylor is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Harper is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Emery is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""How likely is it that Taylor tried hard in the fourth match?"",""latent-1""]","[""How likely is it that Harper tried hard in the first match?"",""latent-2""]","[""How likely is it that Emery tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Taylor and Harper will beat Avery and Drew?"",""new-1""]","[""In a new match, how likely is it that Taylor and Emery will beat Harper and Blake?"",""new-2""]",71.0,56.0,59.0,38.0,79.0,21.0,61.0,36.0
1099,661c6b77b3e418f08388ffb6,tug-of-war_effort_individ-explain-away-bonus,9.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Gale beat Sam.<br>
In the second match, Gale lost to Sam.<br>
In the third match, Sam lost to Blake.<br>
In the fourth match, Sam lost to Quinn.<br>
In the fifth match, Gale beat Taylor.<br>
In the sixth match, Gale beat Willow.<br>",explicit,tug-of-war,"[""How likely is it that Gale tried hard in the second match?"",""latent-1""]","[""How likely is it that Sam tried hard in the first match?"",""latent-2""]","[""How likely is it that Blake tried hard in the third match?"",""latent-3""]","[""How likely is it that Gale is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Sam is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Gale will beat Sam ?"",""new-1""]","[""In a new match, how likely is it that Gale will beat Blake?"",""new-2""]",34.0,60.0,63.0,79.0,35.0,56.0,73.0,50.0
1102,661c6b77b3e418f08388ffb6,tug-of-war_effort_team-diverse-17,9.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Ness and Indiana beat Max and Willow.<br>
In the second match, Ness and Robin beat Lane and Gale.<br>
In the third match, Ness and Val beat Kay and PZ.<br>",explicit,tug-of-war,"[""How likely is it that Ness tried hard in the second match?"",""latent-1""]","[""How likely is it that Indiana tried hard in the first match?"",""latent-2""]","[""How likely is it that Max tried hard in the first match?"",""latent-3""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Indiana is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Max is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Ness and Indiana will beat Max and Gale?"",""new-1""]","[""In a new match, how likely is it that Ness and Max will beat Indiana and Willow?"",""new-2""]",64.0,64.0,58.0,81.0,59.0,47.0,73.0,55.0
1105,661c6b77b3e418f08388ffb6,tug-of-war_effort_team-weak-indirect-15,9.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Blake and Fey beat Taylor and Max.<br>
In the second match, Fey and Casey beat Taylor and Max.<br>
In the third match, Fey and Willow beat Taylor and Max.<br>",explicit,tug-of-war,"[""How likely is it that Blake tried hard in the first match?"",""latent-1""]","[""How likely is it that Fey tried hard in the second match?"",""latent-2""]","[""How likely is it that Taylor tried hard in the second match?"",""latent-3""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Taylor is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Blake and Fey will beat Casey and Taylor?"",""new-1""]","[""In a new match, how likely is it that Blake and Taylor will beat Fey and Max?"",""new-2""]",61.0,69.0,37.0,54.0,70.0,34.0,59.0,44.0
1109,661c6b77b3e418f08388ffb6,diving_effort_individ-strong-indirect-4,9.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic skill varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given dive.
Each team’s score depends on two different factors: their overall dive execution, and their overall dive difficulty, each of which is ranked on a 1-10 scale.

An athlete’s intrinsic skill determines the difficulty of dives that they can successfully complete.
The overall dive difficulty attempted by any given team is determined by the least skilled athlete on the team.
If an athlete doesn’t try in a given dive, their execution will only be about half as good as it could be.
The overall execution of a diving team is determined by the average execution between the members of a given team, along with a penalty based on the difference in execution between the members of a given team. 
The team with the highest combined overall execution and dive difficulty scores will win a given round.",,"In the first match, Jamie lost to Max.<br>
In the second match, Max lost to Fey.<br>
In the third match, Max lost to Indiana.<br>",explicit,diving,"[""How likely is it that Jamie tried hard in the first match?"",""latent-1""]","[""How likely is it that Max tried hard in the second match?"",""latent-2""]","[""How likely is it that Fey tried hard in the second match?"",""latent-3""]","[""How likely is it that Jamie is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Max is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Fey is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Jamie will beat Fey?"",""new-1""]","[""In a new match, how likely is it that Jamie will beat Indiana?"",""new-2""]",44.0,39.0,59.0,43.0,48.0,54.0,59.0,48.0
1112,661c6b77b3e418f08388ffb6,diving_effort_team-confounded-partner-10,9.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Teams compete in synchronized diving. Each team member jumps at the same time.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic skill varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given dive.
Each team’s score depends on two different factors: their overall dive execution, and their overall dive difficulty, each of which is ranked on a 1-10 scale.

An athlete’s intrinsic skill determines the difficulty of dives that they can successfully complete.
The overall dive difficulty attempted by any given team is determined by the least skilled athlete on the team.
If an athlete doesn’t try in a given dive, their execution will only be about half as good as it could be.
The overall execution of a diving team is determined by the average execution between the members of a given team, along with a penalty based on the difference in execution between the members of a given team. 
The team with the highest combined overall execution and dive difficulty scores will win a given round.",,"In the first match, Max and Indiana lost to Peyton and Emery.<br>
In the second match, Max and Indiana lost to Drew and Robin.<br>
In the third match, Max and Indiana lost to Harper and Val.<br>",explicit,diving,"[""How likely is it that Max tried hard in the first match?"",""latent-1""]","[""How likely is it that Indiana tried hard in the second match?"",""latent-2""]","[""How likely is it that Drew tried hard in the second match?"",""latent-3""]","[""How likely is it that Max is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Indiana is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Drew is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Max and Indiana will beat Peyton and Val?"",""new-1""]","[""In a new match, how likely is it that Max and Peyton will beat Indiana and Emery?"",""new-2""]",46.0,46.0,57.0,21.0,21.0,55.0,20.0,51.0
1115,661c6b77b3e418f08388ffb6,diving_effort_team-round-robin-20,9.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Teams compete in synchronized diving. Each team member jumps at the same time.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic skill varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given dive.
Each team’s score depends on two different factors: their overall dive execution, and their overall dive difficulty, each of which is ranked on a 1-10 scale.

An athlete’s intrinsic skill determines the difficulty of dives that they can successfully complete.
The overall dive difficulty attempted by any given team is determined by the least skilled athlete on the team.
If an athlete doesn’t try in a given dive, their execution will only be about half as good as it could be.
The overall execution of a diving team is determined by the average execution between the members of a given team, along with a penalty based on the difference in execution between the members of a given team. 
The team with the highest combined overall execution and dive difficulty scores will win a given round.",,"In the first match, Ollie and Willow lost to Blake and Fey.<br>
In the second match, Ollie and Blake lost to Willow and Fey.<br>
In the third match, Ollie and Fey lost to Willow and Blake.<br>",explicit,diving,"[""How likely is it that Ollie tried hard in the second match?"",""latent-1""]","[""How likely is it that Willow tried hard in the first match?"",""latent-2""]","[""How likely is it that Blake tried hard in the first match?"",""latent-3""]","[""How likely is it that Ollie is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Willow is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Blake is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Ollie and Willow will beat Blake and Sam?"",""new-1""]","[""In a new match, how likely is it that Ollie and Blake will beat Willow and Sam?"",""new-2""]",31.0,36.0,62.0,17.0,51.0,59.0,29.0,51.0
1125,66508032792e3fb42df321a6,tug-of-war_effort_individ-explain-away-bonus3,1.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Peyton beat Blake.<br>
In the second match, Peyton lost to Blake.<br>
In the third match, Blake lost to Ness.<br>
In the fourth match, Blake lost to Indiana.<br>",explicit,tug-of-war,"[""How likely is it that Peyton tried hard in the second match?"",""latent-1""]","[""How likely is it that Blake tried hard in the first match?"",""latent-2""]","[""How likely is it that Ness tried hard in the third match?"",""latent-3""]","[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Peyton will beat Blake ?"",""new-1""]","[""In a new match, how likely is it that Peyton will beat Ness?"",""new-2""]",61.0,75.0,100.0,51.0,9.0,24.0,50.0,74.0
1128,66508032792e3fb42df321a6,tug-of-war_effort_individ-explain-away-91012,1.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Drew lost to Ollie .<br>
In the second match, Drew beat Ollie .<br>
In the third match, Drew beat Ollie.<br>
In the fourth match, Peyton beat Robin.<br>",explicit,tug-of-war,"[""How likely is it that Drew tried hard in the first match?"",""latent-1""]","[""How likely is it that Ollie tried hard in the second match?"",""latent-2""]","[""How likely is it that Robin tried hard in the fourth match?"",""latent-3""]","[""How likely is it that Drew is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Ollie is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Robin is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Drew will beat Ollie ?"",""new-1""]","[""In a new match, how likely is it that Drew will beat Robin?"",""new-2""]",50.0,76.0,50.0,92.0,20.0,50.0,81.0,66.0
1131,66508032792e3fb42df321a6,tug-of-war_effort_team-confounded-opponent-12,1.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Taylor and Peyton lost to Fey and Jamie.<br>
In the second match, Taylor and Quinn lost to Fey and Robin.<br>
In the third match, Taylor and Willow lost to Fey and Lane.<br>",explicit,tug-of-war,"[""How likely is it that Taylor tried hard in the second match?"",""latent-1""]","[""How likely is it that Peyton tried hard in the first match?"",""latent-2""]","[""How likely is it that Fey tried hard in the second match?"",""latent-3""]","[""How likely is it that Taylor is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Taylor and Peyton will beat Quinn and Lane?"",""new-1""]","[""In a new match, how likely is it that Taylor and Fey will beat Peyton and Jamie?"",""new-2""]",24.0,49.0,71.0,1.0,49.0,98.0,61.0,66.0
1135,66508032792e3fb42df321a6,canoe-race_effort_team-explain-away-11,1.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Willow and Casey beat Ness and Max.<br>
In the second match, Willow and Ollie beat Ness and Robin.<br>
In the third match, Willow and Fey beat Ness and Quinn.<br>
In the fourth match, Willow and Casey lost to Ness and Max.<br>",implicit,canoe-race,"[""How likely is it that Willow tried hard in the fourth match?"",""latent-1""]","[""How likely is it that Casey tried hard in the first match?"",""latent-2""]","[""How likely is it that Ness tried hard in the second match?"",""latent-3""]","[""How likely is it that Willow is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Casey is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Willow and Casey will beat Ollie and Quinn?"",""new-1""]","[""In a new match, how likely is it that Willow and Ness will beat Casey and Max?"",""new-2""]",73.0,72.0,34.0,80.0,50.0,13.0,50.0,66.0
1138,66508032792e3fb42df321a6,canoe-race_effort_team-strong-indirect-14,1.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Lane and Sam lost to Jamie and Ness.<br>
In the second match, Sam and Drew beat Jamie and Ness.<br>
In the third match, Sam and Blake beat Jamie and Ness.<br>",implicit,canoe-race,"[""How likely is it that Lane tried hard in the first match?"",""latent-1""]","[""How likely is it that Sam tried hard in the second match?"",""latent-2""]","[""How likely is it that Jamie tried hard in the second match?"",""latent-3""]","[""How likely is it that Lane is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Sam is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Jamie is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Lane and Sam will beat Drew and Jamie?"",""new-1""]","[""In a new match, how likely is it that Lane and Jamie will beat Sam and Ness?"",""new-2""]",49.0,76.0,75.0,23.0,79.0,24.0,50.0,4.0
1141,66508032792e3fb42df321a6,canoe-race_effort_individ-explain-away-bonus2,1.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Kay lost to Sam.<br>
In the second match, Kay beat Sam.<br>
In the third match, Sam beat Willow.<br>
In the fourth match, Sam beat Blake.<br>
In the fifth match, Kay lost to Peyton.<br>
In the sixth match, Kay lost to Jamie.<br>",implicit,canoe-race,"[""How likely is it that Kay tried hard in the second match?"",""latent-1""]","[""How likely is it that Sam tried hard in the first match?"",""latent-2""]","[""How likely is it that Willow tried hard in the third match?"",""latent-3""]","[""How likely is it that Kay is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Sam is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Willow is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Kay will beat Sam ?"",""new-1""]","[""In a new match, how likely is it that Kay will beat Willow?"",""new-2""]",61.0,50.0,49.0,1.0,49.0,49.0,50.0,24.0
1160,6675c1a230eea4b3069127ec,tug-of-war_effort_individ-explain-away-bonus3,7.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Peyton beat Blake.<br>
In the second match, Peyton lost to Blake.<br>
In the third match, Blake lost to Ness.<br>
In the fourth match, Blake lost to Indiana.<br>",explicit,tug-of-war,"[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Peyton tried hard in the second match?"",""latent-1""]","[""How likely is it that Blake tried hard in the first match?"",""latent-2""]","[""How likely is it that Ness tried hard in the third match?"",""latent-3""]","[""In a new match, how likely is it that Peyton will beat Blake ?"",""new-1""]","[""In a new match, how likely is it that Peyton will beat Ness?"",""new-2""]",59.0,66.0,92.0,100.0,1.0,100.0,76.0,23.0
1163,6675c1a230eea4b3069127ec,tug-of-war_effort_team-confounded-opponent-12,7.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Taylor and Peyton lost to Fey and Jamie.<br>
In the second match, Taylor and Quinn lost to Fey and Robin.<br>
In the third match, Taylor and Willow lost to Fey and Lane.<br>",explicit,tug-of-war,"[""How likely is it that Taylor is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Taylor tried hard in the second match?"",""latent-1""]","[""How likely is it that Peyton tried hard in the first match?"",""latent-2""]","[""How likely is it that Fey tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Taylor and Peyton will beat Quinn and Lane?"",""new-1""]","[""In a new match, how likely is it that Taylor and Fey will beat Peyton and Jamie?"",""new-2""]",1.0,28.0,100.0,74.0,68.0,100.0,25.0,73.0
